Imagen,Texto_Detectado,Confianza
000.png,AD440CY,0.94
001.png,AB397UK,1.00
002.png,AD233LT,0.96
003.png,AE182AY,0.97
004.png,AE182AW,0.98
005.png,AE486WE,1.00
006.png,AE796GG,0.99
007.png,AD023DO,0.97
008.png,AC883RA,0.91
009.png,AC017TU,0.96
010.png,AC017TN,1.00
011.png,AD440CY,0.99
012.png,AA854LC,0.95
013.png,AE497FZ,0.97
014.png,AC017TR,0.94
015.png,AE622RT,0.95
016.png,AD461GQ,0.99
017.png,AA516IP,0.99
018.png,AC724YO,0.99
019.png,AE250FX,0.96
020.png,AE521RQ,0.98
021.png,AC883RJ,0.95
022.png,AE676WN,0.94
023.png,AE410HE,0.96
024.png,AE444JH,0.94
