epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.36825,1.95067,3.93716,1.8955,0.00092,0.12,0.00163,0.00035,1.62329,4.24178,2.12569,0.00041675,0.00041675,0.00041675
2,4.74901,1.87604,3.98439,1.97482,0.00138,0.18,0.00188,0.00045,1.64122,4.2695,2.12604,0.000948349,0.000948349,0.000948349
3,5.66808,1.88619,3.9028,1.82871,0.00138,0.18,0.00188,0.00045,1.64122,4.2695,2.12604,0.00145244,0.00145244,0.00145244
4,6.51453,2.09881,3.93253,1.92802,0.00145,0.2,0.00165,0.00036,1.67796,4.23947,2.12739,0.00154323,0.00154323,0.00154323
5,7.41333,1.77363,3.96028,1.72482,0.00145,0.2,0.00165,0.00036,1.67796,4.23947,2.12739,0.00150197,0.00150197,0.00150197
6,8.4521,1.87949,4.06331,1.81918,0.00157,0.22,0.00167,0.00036,1.70641,4.23494,2.14424,0.00146071,0.00146071,0.00146071
7,9.40894,1.83247,3.91782,1.84724,0.00069,0.1,0.0002,3e-05,3.61725,4.70116,2.85438,0.00141945,0.00141945,0.00141945
8,10.4259,2.48341,3.13415,1.90542,0.00069,0.1,0.0002,3e-05,3.61725,4.70116,2.85438,0.00137819,0.00137819,0.00137819
9,11.4899,2.35175,3.16872,1.86424,0.00359,0.6,0.0053,0.00289,1.96785,3.99543,2.10348,0.00133693,0.00133693,0.00133693
10,12.4627,2.09885,3.03945,1.92397,0.00359,0.6,0.0053,0.00289,1.96785,3.99543,2.10348,0.00129568,0.00129568,0.00129568
11,13.4779,1.91476,2.75669,1.65306,0.00392,0.64,0.00891,0.00374,1.71529,3.61703,1.76205,0.00125442,0.00125442,0.00125442
12,14.5034,1.89288,2.52648,1.57477,0.00392,0.64,0.00891,0.00374,1.71529,3.61703,1.76205,0.00121316,0.00121316,0.00121316
13,15.5738,1.80835,2.46061,1.60878,1,0.11529,0.53524,0.31166,1.7434,3.0466,1.75934,0.0011719,0.0011719,0.0011719
14,16.6357,1.71717,2.32612,1.4458,1,0.1974,0.5412,0.33068,1.68845,3.0366,1.75302,0.00113064,0.00113064,0.00113064
15,17.6545,1.75827,2.29583,1.47141,1,0.1974,0.5412,0.33068,1.68845,3.0366,1.75302,0.00108938,0.00108938,0.00108938
16,18.7937,1.65749,2.45134,1.49419,1,0.11257,0.49875,0.34105,1.63704,3.00826,1.73659,0.00104813,0.00104813,0.00104813
17,19.8152,1.5918,2.18139,1.45344,1,0.11257,0.49875,0.34105,1.63704,3.00826,1.73659,0.00100687,0.00100687,0.00100687
18,20.8913,1.54246,2.00676,1.39904,1,0.3815,0.4948,0.33004,1.67788,2.8467,1.73394,0.00096561,0.00096561,0.00096561
19,22.086,1.47727,2.05666,1.40844,1,0.3815,0.4948,0.33004,1.67788,2.8467,1.73394,0.000924352,0.000924352,0.000924352
20,23.2289,1.62285,2.36275,1.49963,1,0.41071,0.50187,0.34438,1.76494,2.86047,1.71046,0.000883093,0.000883093,0.000883093
21,24.383,1.5818,2.09943,1.42226,1,0.3949,0.5108,0.35591,1.69003,2.78068,1.62844,0.000841835,0.000841835,0.000841835
22,25.4153,1.68517,2.25231,1.46975,1,0.3949,0.5108,0.35591,1.69003,2.78068,1.62844,0.000800577,0.000800577,0.000800577
23,26.4191,1.42516,1.98045,1.36432,0.63092,0.43993,0.53838,0.37496,1.61205,2.54659,1.5533,0.000759318,0.000759318,0.000759318
24,27.4649,1.38581,1.93732,1.29889,0.63092,0.43993,0.53838,0.37496,1.61205,2.54659,1.5533,0.00071806,0.00071806,0.00071806
25,28.5997,1.59224,2.04921,1.49097,0.54914,0.57507,0.54265,0.38003,1.50247,2.34298,1.51162,0.000676802,0.000676802,0.000676802
26,29.8071,1.62346,2.05261,1.43929,0.54914,0.57507,0.54265,0.38003,1.50247,2.34298,1.51162,0.000635544,0.000635544,0.000635544
27,32.3687,1.40867,1.86397,1.33099,0.73668,0.51913,0.5913,0.4087,1.44449,2.17673,1.53282,0.000594286,0.000594286,0.000594286
28,34.2,1.38305,1.83263,1.38328,0.57016,0.72,0.56729,0.42395,1.4723,2.18213,1.59918,0.000553027,0.000553027,0.000553027
